author,price,rating,scraped_at,tags,title,url
Albert Einstein,,,2025-08-09T08:04:22Z,"change,deep-thoughts,thinking,world",“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,https://quotes.toscrape.com/page/1/
J.K. Rowling,,,2025-08-09T08:04:22Z,"abilities,choices","“It is our choices, Harry, that show what we truly are, far more than our abilities.”",https://quotes.toscrape.com/page/1/
Albert Einstein,,,2025-08-09T08:04:22Z,"inspirational,life,live,miracle,miracles",“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,https://quotes.toscrape.com/page/1/
Jane Austen,,,2025-08-09T08:04:22Z,"aliteracy,books,classic,humor","“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",https://quotes.toscrape.com/page/1/
Marilyn Monroe,,,2025-08-09T08:04:22Z,"be-yourself,inspirational","“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",https://quotes.toscrape.com/page/1/
Albert Einstein,,,2025-08-09T08:04:22Z,"adulthood,success,value",“Try not to become a man of success. Rather become a man of value.”,https://quotes.toscrape.com/page/1/
André Gide,,,2025-08-09T08:04:22Z,"life,love",“It is better to be hated for what you are than to be loved for what you are not.”,https://quotes.toscrape.com/page/1/
Thomas A. Edison,,,2025-08-09T08:04:22Z,"edison,failure,inspirational,paraphrased","“I have not failed. I've just found 10,000 ways that won't work.”",https://quotes.toscrape.com/page/1/
Eleanor Roosevelt,,,2025-08-09T08:04:22Z,misattributed-eleanor-roosevelt,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,https://quotes.toscrape.com/page/1/
Steve Martin,,,2025-08-09T08:04:22Z,"humor,obvious,simile","“A day without sunshine is like, you know, night.”",https://quotes.toscrape.com/page/1/
Marilyn Monroe,,,2025-08-09T08:04:22Z,"friends,heartbreak,inspirational,life,love,sisters","“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",https://quotes.toscrape.com/page/2/
J.K. Rowling,,,2025-08-09T08:04:22Z,"courage,friends","“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”",https://quotes.toscrape.com/page/2/
Albert Einstein,,,2025-08-09T08:04:22Z,"simplicity,understand","“If you can't explain it to a six year old, you don't understand it yourself.”",https://quotes.toscrape.com/page/2/
Bob Marley,,,2025-08-09T08:04:22Z,love,"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”",https://quotes.toscrape.com/page/2/
Dr. Seuss,,,2025-08-09T08:04:22Z,fantasy,"“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”",https://quotes.toscrape.com/page/2/
Douglas Adams,,,2025-08-09T08:04:22Z,"life,navigation","“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”",https://quotes.toscrape.com/page/2/
Elie Wiesel,,,2025-08-09T08:04:22Z,"activism,apathy,hate,indifference,inspirational,love,opposite,philosophy","“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”",https://quotes.toscrape.com/page/2/
Friedrich Nietzsche,,,2025-08-09T08:04:22Z,"friendship,lack-of-friendship,lack-of-love,love,marriage,unhappy-marriage","“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”",https://quotes.toscrape.com/page/2/
Mark Twain,,,2025-08-09T08:04:22Z,"books,contentment,friends,friendship,life","“Good friends, good books, and a sleepy conscience: this is the ideal life.”",https://quotes.toscrape.com/page/2/
Allen Saunders,,,2025-08-09T08:04:22Z,"fate,life,misattributed-john-lennon,planning,plans",“Life is what happens to us while we are making other plans.”,https://quotes.toscrape.com/page/2/
Pablo Neruda,,,2025-08-09T08:04:23Z,"love,poetry","“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”",https://quotes.toscrape.com/page/3/
Ralph Waldo Emerson,,,2025-08-09T08:04:23Z,happiness,“For every minute you are angry you lose sixty seconds of happiness.”,https://quotes.toscrape.com/page/3/
Mother Teresa,,,2025-08-09T08:04:23Z,attributed-no-source,"“If you judge people, you have no time to love them.”",https://quotes.toscrape.com/page/3/
Garrison Keillor,,,2025-08-09T08:04:23Z,"humor,religion",“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,https://quotes.toscrape.com/page/3/
Jim Henson,,,2025-08-09T08:04:23Z,humor,“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,https://quotes.toscrape.com/page/3/
Dr. Seuss,,,2025-08-09T08:04:23Z,"comedy,life,yourself","“Today you are You, that is truer than true. There is no one alive who is Youer than You.”",https://quotes.toscrape.com/page/3/
Albert Einstein,,,2025-08-09T08:04:23Z,"children,fairy-tales","“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”",https://quotes.toscrape.com/page/3/
J.K. Rowling,,,2025-08-09T08:04:23Z,,"“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”",https://quotes.toscrape.com/page/3/
Albert Einstein,,,2025-08-09T08:04:23Z,imagination,“Logic will get you from A to Z; imagination will get you everywhere.”,https://quotes.toscrape.com/page/3/
Bob Marley,,,2025-08-09T08:04:23Z,music,"“One good thing about music, when it hits you, you feel no pain.”",https://quotes.toscrape.com/page/3/
Dr. Seuss,,,2025-08-09T08:04:24Z,"learning,reading,seuss","“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”",https://quotes.toscrape.com/page/4/
J.K. Rowling,,,2025-08-09T08:04:24Z,dumbledore,"“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”",https://quotes.toscrape.com/page/4/
Bob Marley,,,2025-08-09T08:04:24Z,friendship,"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",https://quotes.toscrape.com/page/4/
Mother Teresa,,,2025-08-09T08:04:24Z,"misattributed-to-mother-teresa,paraphrased",“Not all of us can do great things. But we can do small things with great love.”,https://quotes.toscrape.com/page/4/
J.K. Rowling,,,2025-08-09T08:04:24Z,"death,inspirational","“To the well-organized mind, death is but the next great adventure.”",https://quotes.toscrape.com/page/4/
Charles M. Schulz,,,2025-08-09T08:04:24Z,"chocolate,food,humor",“All you need is love. But a little chocolate now and then doesn't hurt.”,https://quotes.toscrape.com/page/4/
William Nicholson,,,2025-08-09T08:04:24Z,"misattributed-to-c-s-lewis,reading",“We read to know we're not alone.”,https://quotes.toscrape.com/page/4/
Albert Einstein,,,2025-08-09T08:04:24Z,"knowledge,learning,understanding,wisdom",“Any fool can know. The point is to understand.”,https://quotes.toscrape.com/page/4/
Jorge Luis Borges,,,2025-08-09T08:04:24Z,"books,library",“I have always imagined that Paradise will be a kind of library.”,https://quotes.toscrape.com/page/4/
George Eliot,,,2025-08-09T08:04:24Z,inspirational,“It is never too late to be what you might have been.”,https://quotes.toscrape.com/page/4/
George R.R. Martin,,,2025-08-09T08:04:24Z,"read,readers,reading,reading-books","“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”",https://quotes.toscrape.com/page/5/
C.S. Lewis,,,2025-08-09T08:04:24Z,"books,inspirational,reading,tea",“You can never get a cup of tea large enough or a book long enough to suit me.”,https://quotes.toscrape.com/page/5/
Marilyn Monroe,,,2025-08-09T08:04:24Z,,“You believe lies so you eventually learn to trust no one but yourself.”,https://quotes.toscrape.com/page/5/
Marilyn Monroe,,,2025-08-09T08:04:24Z,"girls,love","“If you can make a woman laugh, you can make her do anything.”",https://quotes.toscrape.com/page/5/
Albert Einstein,,,2025-08-09T08:04:24Z,"life,simile","“Life is like riding a bicycle. To keep your balance, you must keep moving.”",https://quotes.toscrape.com/page/5/
Marilyn Monroe,,,2025-08-09T08:04:24Z,love,“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”,https://quotes.toscrape.com/page/5/
Marilyn Monroe,,,2025-08-09T08:04:24Z,attributed-no-source,"“A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.”",https://quotes.toscrape.com/page/5/
Martin Luther King Jr.,,,2025-08-09T08:04:24Z,"hope,inspirational",“Only in the darkness can you see the stars.”,https://quotes.toscrape.com/page/5/
J.K. Rowling,,,2025-08-09T08:04:24Z,dumbledore,"“It matters not what someone is born, but what they grow to be.”",https://quotes.toscrape.com/page/5/
James Baldwin,,,2025-08-09T08:04:24Z,love,"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”",https://quotes.toscrape.com/page/5/
Jane Austen,,,2025-08-09T08:04:25Z,"friendship,love","“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",https://quotes.toscrape.com/page/6/
Eleanor Roosevelt,,,2025-08-09T08:04:25Z,"attributed,fear,inspiration",“Do one thing every day that scares you.”,https://quotes.toscrape.com/page/6/
Marilyn Monroe,,,2025-08-09T08:04:25Z,attributed-no-source,"“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”",https://quotes.toscrape.com/page/6/
Albert Einstein,,,2025-08-09T08:04:25Z,music,"“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”",https://quotes.toscrape.com/page/6/
Haruki Murakami,,,2025-08-09T08:04:25Z,"books,thought","“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”",https://quotes.toscrape.com/page/6/
Alexandre Dumas fils,,,2025-08-09T08:04:25Z,misattributed-to-einstein,“The difference between genius and stupidity is: genius has its limits.”,https://quotes.toscrape.com/page/6/
Stephenie Meyer,,,2025-08-09T08:04:25Z,"drug,romance,simile","“He's like a drug for you, Bella.”",https://quotes.toscrape.com/page/6/
Ernest Hemingway,,,2025-08-09T08:04:25Z,"books,friends,novelist-quotes",“There is no friend as loyal as a book.”,https://quotes.toscrape.com/page/6/
Helen Keller,,,2025-08-09T08:04:25Z,inspirational,"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",https://quotes.toscrape.com/page/6/
George Bernard Shaw,,,2025-08-09T08:04:25Z,"inspirational,life,yourself",“Life isn't about finding yourself. Life is about creating yourself.”,https://quotes.toscrape.com/page/6/
Charles Bukowski,,,2025-08-09T08:04:25Z,alcohol,"“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”",https://quotes.toscrape.com/page/7/
Suzanne Collins,,,2025-08-09T08:04:25Z,the-hunger-games,“You don’t forget the face of the person who was your last hope.”,https://quotes.toscrape.com/page/7/
Suzanne Collins,,,2025-08-09T08:04:25Z,humor,"“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”",https://quotes.toscrape.com/page/7/
C.S. Lewis,,,2025-08-09T08:04:25Z,love,"“To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.”",https://quotes.toscrape.com/page/7/
J.R.R. Tolkien,,,2025-08-09T08:04:25Z,"bilbo,journey,lost,quest,travel,wander",“Not all those who wander are lost.”,https://quotes.toscrape.com/page/7/
J.K. Rowling,,,2025-08-09T08:04:25Z,live-death-love,"“Do not pity the dead, Harry. Pity the living, and, above all those who live without love.”",https://quotes.toscrape.com/page/7/
Ernest Hemingway,,,2025-08-09T08:04:25Z,"good,writing",“There is nothing to writing. All you do is sit down at a typewriter and bleed.”,https://quotes.toscrape.com/page/7/
Ralph Waldo Emerson,,,2025-08-09T08:04:25Z,"life,regrets",“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”,https://quotes.toscrape.com/page/7/
Mark Twain,,,2025-08-09T08:04:25Z,education,“I have never let my schooling interfere with my education.”,https://quotes.toscrape.com/page/7/
Dr. Seuss,,,2025-08-09T08:04:25Z,troubles,“I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!”,https://quotes.toscrape.com/page/7/
Alfred Tennyson,,,2025-08-09T08:04:26Z,"friendship,love",“If I had a flower for every time I thought of you...I could walk through my garden forever.”,https://quotes.toscrape.com/page/8/
Charles Bukowski,,,2025-08-09T08:04:26Z,humor,“Some people never go crazy. What truly horrible lives they must lead.”,https://quotes.toscrape.com/page/8/
Terry Pratchett,,,2025-08-09T08:04:26Z,"humor,open-mind,thinking","“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”",https://quotes.toscrape.com/page/8/
Dr. Seuss,,,2025-08-09T08:04:26Z,"humor,philosophy","“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”",https://quotes.toscrape.com/page/8/
J.D. Salinger,,,2025-08-09T08:04:26Z,"authors,books,literature,reading,writing","“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”",https://quotes.toscrape.com/page/8/
George Carlin,,,2025-08-09T08:04:26Z,"humor,insanity,lies,lying,self-indulgence,truth",“The reason I talk to myself is because I’m the only one whose answers I accept.”,https://quotes.toscrape.com/page/8/
John Lennon,,,2025-08-09T08:04:26Z,"beatles,connection,dreamers,dreaming,dreams,hope,inspirational,peace","“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”",https://quotes.toscrape.com/page/8/
W.C. Fields,,,2025-08-09T08:04:26Z,"humor,sinister",“I am free of all prejudice. I hate everyone equally. ”,https://quotes.toscrape.com/page/8/
Ayn Rand,,,2025-08-09T08:04:26Z,,“The question isn't who is going to let me; it's who is going to stop me.”,https://quotes.toscrape.com/page/8/
Mark Twain,,,2025-08-09T08:04:26Z,"books,classic,reading",“′Classic′ - a book which people praise and don't read.”,https://quotes.toscrape.com/page/8/
Albert Einstein,,,2025-08-09T08:04:26Z,mistakes,“Anyone who has never made a mistake has never tried anything new.”,https://quotes.toscrape.com/page/9/
Jane Austen,,,2025-08-09T08:04:26Z,"humor,love,romantic,women","“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”",https://quotes.toscrape.com/page/9/
J.K. Rowling,,,2025-08-09T08:04:26Z,integrity,"“Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.”",https://quotes.toscrape.com/page/9/
Jane Austen,,,2025-08-09T08:04:26Z,"books,library,reading","“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”",https://quotes.toscrape.com/page/9/
Jane Austen,,,2025-08-09T08:04:26Z,"elizabeth-bennet,jane-austen","“There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.”",https://quotes.toscrape.com/page/9/
C.S. Lewis,,,2025-08-09T08:04:26Z,"age,fairytales,growing-up",“Some day you will be old enough to start reading fairy tales again.”,https://quotes.toscrape.com/page/9/
C.S. Lewis,,,2025-08-09T08:04:26Z,god,“We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.”,https://quotes.toscrape.com/page/9/
Mark Twain,,,2025-08-09T08:04:26Z,"death,life",“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”,https://quotes.toscrape.com/page/9/
Mark Twain,,,2025-08-09T08:04:26Z,"misattributed-mark-twain,truth",“A lie can travel half way around the world while the truth is putting on its shoes.”,https://quotes.toscrape.com/page/9/
C.S. Lewis,,,2025-08-09T08:04:26Z,"christianity,faith,religion,sun","“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”",https://quotes.toscrape.com/page/9/
J.K. Rowling,,,2025-08-09T08:04:27Z,truth,"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”",https://quotes.toscrape.com/page/10/
Jimi Hendrix,,,2025-08-09T08:04:27Z,"death,life","“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”",https://quotes.toscrape.com/page/10/
J.M. Barrie,,,2025-08-09T08:04:27Z,"adventure,love",“To die will be an awfully big adventure.”,https://quotes.toscrape.com/page/10/
E.E. Cummings,,,2025-08-09T08:04:27Z,courage,“It takes courage to grow up and become who you really are.”,https://quotes.toscrape.com/page/10/
Khaled Hosseini,,,2025-08-09T08:04:27Z,life,“But better to get hurt by the truth than comforted with a lie.”,https://quotes.toscrape.com/page/10/
Harper Lee,,,2025-08-09T08:04:27Z,better-life-empathy,“You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.”,https://quotes.toscrape.com/page/10/
Madeleine L'Engle,,,2025-08-09T08:04:27Z,"books,children,difficult,grown-ups,write,writers,writing","“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”",https://quotes.toscrape.com/page/10/
Mark Twain,,,2025-08-09T08:04:27Z,truth,“Never tell the truth to people who are not worthy of it.”,https://quotes.toscrape.com/page/10/
Dr. Seuss,,,2025-08-09T08:04:27Z,inspirational,"“A person's a person, no matter how small.”",https://quotes.toscrape.com/page/10/
George R.R. Martin,,,2025-08-09T08:04:27Z,"books,mind","“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",https://quotes.toscrape.com/page/10/
